Date,Temp High,Temp Avg,Temp Low,Dew Point High,Dew Point Avg,Dew Point Low,Humidity High,Humidity Avg,Humidity Low,Pressure High,Pressure Avg,Pressure Low,Precipitation (in.)
4/8/2015,80,74,69,70,68,66,95,82,64,30.02,29.96,29.9,0
4/9/2015,84,76,70,72,69,65,93,80,67,29.98,29.89,29.8,0
4/10/2015,71,64,56,69,56,49,98,77,62,30.2,30.09,29.97,0
4/11/2015,76,66,56,68,62,54,100,92,71,30.14,30.07,29.99,0.16
4/12/2015,81,73,65,72,69,66,100,92,67,30.01,29.93,29.84,0.02
4/13/2015,82,72,64,71,67,65,100,85,60,29.98,29.9,29.8,0.83
4/14/2015,68,62,56,65,60,55,100,90,69,30.12,30.03,29.99,0
4/15/2015,78,64,51,63,56,51,100,78,49,30.07,30,29.92,0
4/16/2015,82,72,62,68,65,62,100,89,61,30,29.95,29.84,2.5
4/17/2015,78,70,63,70,66,63,100,92,70,30.01,29.95,29.86,0.31
4/18/2015,77,68,60,68,67,59,100,91,71,29.94,29.86,29.75,0.39
4/19/2015,83,70,57,71,61,53,100,79,44,29.9,29.8,29.73,0.1
4/20/2015,71,60,50,58,47,41,89,60,37,30.05,29.98,29.9,0
4/21/2015,77,64,51,60,53,48,93,66,44,30.06,29.99,29.92,0
4/22/2015,81,70,59,69,65,58,98,83,65,29.97,29.92,29.82,0
4/23/2015,84,75,66,74,71,66,100,89,69,29.96,29.9,29.85,0
4/24/2015,83,76,68,78,72,68,100,89,74,29.97,29.82,29.69,0.52
4/25/2015,88,78,69,73,68,55,100,75,32,29.81,29.75,29.69,0.08
4/26/2015,84,76,67,72,69,66,100,86,63,29.84,29.69,29.59,0
4/27/2015,83,72,62,73,67,61,99,87,64,29.83,29.69,29.59,1.19
4/28/2015,63,58,52,64,56,50,100,92,79,30.1,29.96,29.82,0.01
4/29/2015,73,60,48,53,50,47,99,70,41,30.1,30.04,29.96,0
4/30/2015,78,65,52,58,52,48,97,64,36,30.05,30,29.95,0
5/1/2015,80,66,54,60,56,53,97,69,42,30.11,30.05,29.99,0
5/2/2015,81,68,55,59,56,54,98,65,41,30.12,30.06,29.99,0
5/3/2015,82,68,55,63,59,55,99,72,46,30.09,30.03,29.98,0
5/4/2015,82,70,59,66,61,56,100,72,44,30.14,30.07,30.02,0
5/5/2015,83,70,59,72,66,58,100,87,59,30.06,30,29.94,0.17
5/6/2015,83,75,67,73,70,66,100,89,67,30,29.95,29.88,0.16
5/7/2015,82,76,69,72,71,70,100,85,68,29.97,29.92,29.86,0
5/8/2015,84,78,73,75,73,70,97,87,73,29.97,29.92,29.84,0
5/9/2015,86,79,72,74,72,69,99,83,60,29.92,29.88,29.82,0.02
5/10/2015,86,80,75,75,73,70,92,81,63,29.93,29.86,29.81,0
5/11/2015,77,72,66,75,69,66,100,96,85,30.16,30.01,29.88,1.4
5/12/2015,70,68,65,70,67,65,100,98,94,30.22,30.16,30.11,0.37
5/13/2015,74,70,65,73,68,65,100,98,91,30.15,30.1,30.05,0.37
5/14/2015,84,74,65,75,71,66,100,94,69,30.11,30.06,30,0.04
5/15/2015,75,72,68,73,71,67,100,96,87,30.06,29.98,29.84,0.34
5/16/2015,86,76,68,75,72,68,100,85,61,29.96,29.89,29.83,0.02
5/17/2015,78,73,68,74,71,68,100,92,74,30.07,29.97,29.85,0.62
5/18/2015,83,76,69,76,72,68,100,91,75,30.12,30.07,30.01,0.85
5/19/2015,85,78,70,75,72,70,100,87,65,30.09,30.03,29.92,0
5/20/2015,88,80,71,75,73,71,100,84,59,30.03,29.97,29.91,0
5/21/2015,76,70,63,74,66,61,100,94,80,30.15,30.09,30,0
5/22/2015,79,70,62,70,66,63,100,92,72,30.17,30.12,30.08,0.01
5/23/2015,86,77,69,74,72,65,99,88,62,30.14,30.07,29.96,0.05
5/24/2015,80,72,65,71,68,65,100,90,70,30.01,29.92,29.87,0.66
5/25/2015,83,73,64,76,70,64,100,92,73,29.96,29.9,29.8,2.74
5/26/2015,87,75,64,75,70,64,100,85,66,30.03,29.99,29.91,0.04
5/27/2015,87,75,63,74,70,63,100,86,62,30.11,30.07,30.02,0.72
5/28/2015,87,78,69,75,72,66,100,85,55,30.12,30.04,29.93,0
5/29/2015,86,76,65,74,69,65,100,82,53,30,29.96,29.86,0.19
5/30/2015,87,78,69,73,70,67,100,81,58,30.1,30.03,29.98,0
5/31/2015,83,73,64,68,64,59,100,73,45,30.13,30.07,30.02,0
6/1/2015,86,74,62,69,65,62,100,77,48,30.12,30.06,30.01,0
6/2/2015,87,76,65,69,67,64,99,74,47,30.08,30.01,29.93,0
6/3/2015,88,77,66,70,68,66,98,74,50,29.98,29.94,29.9,0
6/4/2015,88,78,67,71,68,66,99,73,47,30.03,29.98,29.93,0
6/5/2015,90,78,68,73,70,68,99,76,49,30.09,30.02,29.98,0
6/6/2015,91,80,69,72,70,67,97,73,46,30.05,30,29.94,0
6/7/2015,91,80,70,72,70,68,96,72,47,30.01,29.97,29.93,0
6/8/2015,91,80,70,73,69,67,96,71,44,30.03,29.98,29.93,0
6/9/2015,92,82,71,72,70,66,96,70,44,29.99,29.93,29.84,0
6/10/2015,92,82,72,73,71,70,96,73,50,29.92,29.87,29.8,0
6/11/2015,93,82,70,75,72,69,100,73,49,29.9,29.85,29.79,0
6/12/2015,93,82,71,76,73,70,100,77,49,29.9,29.87,29.82,0
6/13/2015,90,80,72,76,74,72,100,82,61,29.94,29.89,29.84,0
6/14/2015,88,80,73,77,74,73,100,91,67,29.97,29.93,29.89,0.24
6/15/2015,88,80,72,76,74,72,100,88,61,29.99,29.95,29.9,0.03
6/16/2015,80,76,73,76,74,73,100,96,80,29.98,29.93,29.87,0.62
6/17/2015,84,78,74,75,74,72,95,86,74,29.97,29.9,29.8,0
6/18/2015,84,78,72,77,74,69,100,92,67,30.06,29.98,29.92,0.32
6/19/2015,86,80,74,77,76,74,100,87,68,30.08,30.03,29.99,0
6/20/2015,88,80,71,76,75,71,100,87,62,30.09,30.05,30.02,0.19
6/21/2015,90,81,72,79,75,72,100,85,60,30.11,30.07,30.03,0.19
6/22/2015,90,82,75,77,75,71,100,79,55,30.14,30.1,30.07,0
6/23/2015,91,82,73,78,75,73,100,82,56,30.19,30.14,30.08,0
6/24/2015,81,75,71,75,73,71,100,94,82,30.19,30.16,30.13,0
6/26/2015,92,86,80,76,74,72,83,65,52,30.07,29.99,29.93,0
6/27/2015,89,80,71,77,74,72,100,84,57,30.07,30.02,29.97,0.14
6/28/2015,88,80,73,77,75,72,100,87,64,30.07,30.02,29.98,0.09
6/29/2015,91,82,74,76,75,73,100,81,56,30.07,30.01,29.95,0
6/30/2015,91,81,71,77,75,70,100,88,54,30.1,30.04,29.98,0.53
7/1/2015,87,78,70,77,73,70,100,89,64,30.1,30.05,30.01,0.17
7/2/2015,90,84,77,74,73,71,87,67,54,30.03,29.98,29.95,0
7/3/2015,90,82,74,77,75,72,100,81,56,30.03,29.99,29.95,0
7/4/2015,91,83,75,77,75,72,100,81,57,30.05,30,29.95,0
7/5/2015,91,83,76,78,75,72,100,78,58,30.09,30.04,29.97,0
7/6/2015,91,84,77,77,75,71,98,79,53,30.1,30.04,29.93,0
7/7/2015,91,83,76,77,75,73,100,81,60,30.04,30.01,29.96,0
7/8/2015,91,84,77,77,73,69,96,75,52,30.07,30.03,29.99,0
7/9/2015,92,82,74,76,74,70,100,75,51,30.12,30.07,30.01,0
7/10/2015,91,81,71,77,72,68,100,75,49,30.16,30.1,30.05,0
7/11/2015,93,82,72,75,73,70,100,73,47,30.18,30.13,30.09,0
7/12/2015,93,83,73,76,73,70,100,74,49,30.15,30.09,30.01,0
7/13/2015,93,84,74,76,74,71,99,75,52,30.03,29.96,29.87,0
7/14/2015,93,84,74,74,72,69,99,71,45,29.96,29.91,29.85,0
7/15/2015,93,83,73,76,73,70,100,73,47,30.01,29.94,29.89,0
7/16/2015,94,84,74,76,74,70,100,74,47,30.03,29.98,29.92,0
7/17/2015,96,85,75,77,74,71,100,73,47,30.03,29.97,29.9,0
7/18/2015,96,86,76,77,74,71,99,71,45,30.06,30,29.95,0
7/19/2015,96,84,74,77,74,71,100,73,46,30.08,30.01,29.95,0
7/20/2015,95,85,75,76,73,70,100,70,44,30.01,29.96,29.88,0
7/21/2015,96,84,74,76,73,69,99,70,44,29.96,29.91,29.84,0
7/22/2015,97,86,75,77,73,70,100,69,43,29.97,29.92,29.87,0
7/23/2015,98,86,74,76,72,67,98,68,40,30.05,29.99,29.94,0
7/24/2015,97,85,73,77,73,69,100,72,41,30.09,30.02,29.95,0
7/25/2015,95,84,74,76,73,69,100,70,42,30.04,29.97,29.9,0
7/26/2015,96,86,75,77,73,68,100,69,41,29.98,29.93,29.88,0
7/27/2015,97,86,76,77,73,68,100,69,41,30,29.94,29.88,0
7/28/2015,98,86,75,77,72,67,99,66,36,30.02,29.97,29.93,0
7/29/2015,99,86,74,76,71,65,100,65,34,30.09,30.03,29.98,0
7/30/2015,101,88,75,74,71,67,94,60,33,30.1,30.04,29.97,0
7/31/2015,99,86,75,76,70,58,94,61,29,30.07,30.02,29.93,0
8/1/2015,97,82,68,67,63,60,82,52,29,30.06,29.98,29.91,0
8/2/2015,98,82,66,68,61,52,89,51,22,29.98,29.92,29.85,0
8/3/2015,99,83,68,73,67,61,95,59,30,29.95,29.91,29.87,0
8/4/2015,97,84,71,76,72,69,98,67,39,30.01,29.95,29.91,0
8/5/2015,99,88,76,77,72,66,98,65,35,30.03,29.97,29.9,0
8/6/2015,100,88,77,76,72,65,95,64,32,30,29.93,29.85,0
8/7/2015,99,88,76,76,73,68,96,64,38,29.97,29.91,29.84,0
8/8/2015,100,88,76,76,73,68,98,65,37,29.98,29.92,29.86,0
8/9/2015,102,88,74,76,70,59,99,63,25,29.99,29.95,29.89,0
8/10/2015,102,88,75,75,70,57,96,65,24,30,29.94,29.87,0
8/11/2015,104,89,74,73,69,65,81,57,33,30.06,29.99,29.93,0
8/12/2015,102,88,73,73,71,68,92,62,35,30.1,30.02,29.94,0
8/13/2015,101,88,75,75,71,64,95,63,34,30.05,29.99,29.92,0
8/14/2015,100,86,73,76,69,60,99,62,31,30.07,30.01,29.93,0
8/15/2015,98,85,72,70,64,56,78,52,25,30.05,30,29.91,0
8/16/2015,96,83,70,73,69,64,95,68,35,30.03,29.98,29.91,0.01
8/17/2015,96,82,69,72,69,66,99,71,39,30.01,29.96,29.88,0
8/18/2015,99,87,75,75,71,66,97,66,34,29.96,29.87,29.77,0
8/19/2015,98,87,77,77,73,68,97,73,39,29.93,29.85,29.8,0
8/20/2015,82,76,71,74,71,67,95,85,62,30.03,29.96,29.91,0
8/21/2015,88,79,70,76,71,68,99,84,54,30.03,29.98,29.93,0.26
8/22/2015,97,86,74,78,74,68,99,73,38,30,29.95,29.89,0
8/23/2015,99,88,77,77,74,68,98,70,36,30.07,30.01,29.95,0
8/24/2015,100,88,76,77,72,66,97,65,34,30.11,30.04,29.97,0
8/25/2015,94,84,73,74,71,66,92,68,40,30.11,30.05,30.01,0
8/26/2015,95,82,69,72,67,60,98,66,31,30.16,30.1,30.04,0
8/27/2015,95,79,64,70,64,57,98,64,29,30.11,30.06,29.98,0
8/28/2015,95,80,65,67,64,61,95,60,33,30.05,30,29.94,0
8/29/2015,94,82,70,68,66,64,91,62,38,30.08,30.02,29.97,0
8/30/2015,92,82,72,70,67,63,87,65,40,30.07,30.01,29.97,0
8/31/2015,93,80,68,73,69,64,99,71,40,30.07,30.01,29.98,0
9/1/2015,90,79,68,75,70,68,99,79,50,30.07,30.04,30,0.41
9/2/2015,91,78,67,72,69,67,100,78,47,30.08,30.03,29.95,0
9/3/2015,95,82,69,74,71,68,100,77,42,30,29.94,29.86,0
9/4/2015,96,84,72,75,73,70,100,76,44,29.98,29.94,29.9,0
9/5/2015,95,83,72,78,75,70,100,82,46,30.06,30,29.96,0.09
9/6/2015,97,86,75,77,73,68,100,73,40,30.06,29.99,29.91,0
9/7/2015,98,86,75,77,74,70,100,75,41,30.02,29.95,29.88,0.01
9/8/2015,97,86,74,76,72,65,99,69,37,29.98,29.92,29.83,0
9/9/2015,88,80,73,75,73,71,100,81,60,29.99,29.92,29.87,0
9/10/2015,91,81,72,76,73,71,100,84,53,29.98,29.93,29.87,0.34
9/11/2015,92,82,71,76,73,69,100,82,51,30.02,29.94,29.89,0
9/12/2015,89,77,65,75,57,45,98,54,26,30.1,30.04,29.99,0
9/13/2015,90,72,56,58,51,46,80,49,25,30.12,30.05,30,0
9/14/2015,89,73,57,66,57,46,97,59,23,30.12,30.06,30,0
9/15/2015,95,80,66,77,70,65,94,79,49,30.11,30.06,30.02,0.04
9/16/2015,95,82,70,75,70,66,100,73,41,30.15,30.09,30.03,0
9/17/2015,95,80,67,74,69,66,100,72,41,30.08,30.01,29.92,0
9/18/2015,94,82,70,74,69,62,100,69,36,29.97,29.92,29.86,0
9/19/2015,95,80,65,72,65,56,100,65,27,30,29.95,29.9,0
9/20/2015,95,80,65,70,64,56,100,62,27,30.06,30,29.94,0
9/21/2015,95,83,71,70,67,62,89,65,34,30.05,29.99,29.93,0
9/22/2015,95,81,67,72,66,59,99,66,31,30.08,30.02,29.97,0
9/23/2015,94,78,63,69,59,49,96,58,24,30.09,30.02,29.96,0
9/24/2015,94,76,59,65,58,50,80,54,30,30.08,30.02,29.96,0
9/25/2015,95,80,69,68,64,58,92,61,35,30.08,30.02,29.96,0
9/26/2015,94,80,66,65,58,50,89,52,23,30,29.95,29.89,0
9/27/2015,90,75,61,65,60,50,93,66,27,29.97,29.91,29.85,0
9/28/2015,81,74,68,70,67,64,99,85,61,29.9,29.85,29.8,0.02
9/29/2015,92,80,67,69,67,64,99,67,40,29.93,29.88,29.84,0
9/30/2015,94,80,68,67,64,60,92,63,33,30.02,29.96,29.92,0
10/1/2015,90,78,65,63,61,57,88,60,34,30.08,30.02,29.96,0
10/2/2015,84,72,60,58,49,41,85,50,22,30.09,30,29.91,0
10/3/2015,83,68,52,52,46,43,76,49,26,29.97,29.9,29.82,0
10/4/2015,84,68,54,53,50,48,85,55,30,30.06,29.97,29.9,0
10/5/2015,85,70,57,58,55,51,86,61,38,30.11,30.05,29.99,0
10/6/2015,89,75,61,60,58,54,89,60,32,30.16,30.09,30.02,0
10/7/2015,89,74,59,63,60,56,87,61,37,30.12,30.05,29.99,0
10/8/2015,89,76,63,68,63,61,96,68,39,30.09,30.04,29.98,0
10/9/2015,90,78,66,67,64,61,92,64,40,30.16,30.1,30.04,0
10/10/2015,88,75,62,63,59,55,93,62,34,30.22,30.14,30.05,0
10/11/2015,93,76,58,70,61,53,88,62,36,30.09,29.97,29.84,0
10/12/2015,95,82,70,71,69,67,96,70,41,29.89,29.83,29.77,0
10/13/2015,92,76,60,71,47,29,91,43,11,30.05,29.98,29.9,0
10/14/2015,95,74,54,50,41,35,67,35,13,30.12,30.06,30.02,0
10/15/2015,95,72,51,63,51,41,97,51,16,30.15,30.09,30.05,0
10/16/2015,92,72,54,64,52,44,94,54,20,30.26,30.18,30.13,0
10/17/2015,86,70,56,51,44,39,76,45,22,30.33,30.26,30.22,0
10/18/2015,83,66,50,40,36,26,61,37,13,30.39,30.31,30.25,0
10/19/2015,84,64,46,42,38,34,76,41,18,30.3,30.23,30.15,0
10/20/2015,86,68,52,68,60,43,93,75,51,30.18,30.13,30.06,0
10/21/2015,88,78,67,70,68,66,98,78,50,30.18,30.11,30.05,0
10/22/2015,86,76,65,74,69,64,98,83,61,30.09,30.01,29.93,0
10/23/2015,78,75,72,75,73,72,100,95,88,29.98,29.93,29.88,0.77
10/24/2015,73,70,65,73,68,65,100,98,94,29.98,29.93,29.87,5.27
10/25/2015,65,62,59,65,61,57,100,98,91,30.01,29.97,29.94,1.25
10/26/2015,76,67,58,60,57,54,93,75,55,30,29.93,29.87,0
10/27/2015,80,68,57,60,58,53,99,75,44,29.92,29.85,29.78,0
10/28/2015,79,68,59,56,54,51,84,63,40,29.92,29.84,29.77,0
10/29/2015,81,66,50,60,53,49,98,68,33,30,29.92,29.87,0
10/30/2015,73,70,66,70,66,60,100,89,76,29.92,29.8,29.68,0.2
10/31/2015,72,68,64,72,67,64,100,94,82,29.94,29.78,29.66,0.83
11/1/2015,68,62,58,64,61,58,100,93,78,30,29.96,29.88,0.05
11/2/2015,73,64,55,61,59,56,100,91,64,30.05,30,29.95,0
11/3/2015,77,65,53,66,59,54,100,87,54,30.11,30.04,30,0
11/4/2015,79,70,61,68,65,62,100,88,66,30.11,30.06,30.01,0
11/5/2015,82,76,70,77,72,68,96,90,74,30.05,30,29.94,0.01
11/6/2015,75,66,57,74,58,52,100,77,48,30.14,30.08,30.01,0.34
11/7/2015,61,56,52,61,57,45,100,95,74,30.25,30.16,30.05,0.8
11/8/2015,68,60,52,49,46,44,79,65,48,30.28,30.2,30.15,0
11/9/2015,71,60,50,55,50,46,94,73,46,30.21,30.14,30.08,0
11/10/2015,73,64,54,67,61,54,100,86,67,30.14,30.06,29.97,0
11/11/2015,82,74,66,74,68,46,96,83,45,30.03,29.9,29.84,0.01
11/12/2015,71,60,50,45,42,38,74,53,30,30.28,30.19,30.03,0.01
11/13/2015,66,58,50,46,42,39,85,57,37,30.36,30.29,30.25,0
11/14/2015,66,57,48,49,43,36,89,62,33,30.38,30.32,30.28,0
11/15/2015,73,63,53,60,51,43,98,71,43,30.31,30.21,30.09,0
11/16/2015,76,68,59,72,67,59,100,95,83,30.1,29.9,29.68,0.04
11/17/2015,75,62,48,72,57,48,100,93,83,29.79,29.69,29.55,1.51
11/18/2015,69,56,44,51,46,39,100,71,34,29.98,29.87,29.77,0
11/19/2015,76,60,45,55,50,45,99,74,37,30.17,30.1,29.98,0
11/20/2015,75,60,46,53,50,46,99,72,40,30.16,30.07,29.97,0
11/21/2015,62,50,39,61,44,29,100,68,38,30.33,30.14,29.94,0
11/22/2015,55,44,33,35,30,25,95,65,30,30.39,30.3,30.23,0
11/23/2015,62,46,31,38,34,30,99,66,30,30.37,30.3,30.24,0
11/24/2015,70,56,41,57,48,38,95,74,51,30.27,30.18,30.1,0.07
11/25/2015,76,68,59,64,62,57,99,84,62,30.16,30.11,30.07,0
11/26/2015,73,69,65,70,68,64,100,93,81,30.2,30.15,30.11,0.05
11/27/2015,75,60,44,70,61,44,100,95,83,30.22,30.15,30.11,0.49
11/28/2015,44,42,41,44,42,41,100,98,96,30.25,30.21,30.17,0.32
11/29/2015,47,44,42,48,45,42,100,99,97,30.22,30.15,30.07,0.22
11/30/2015,50,48,45,49,47,46,100,96,89,30.11,30.06,30.03,0.01
12/1/2015,57,52,46,46,45,42,96,83,62,30.1,30.05,29.98,0
12/2/2015,64,52,40,46,39,32,100,70,31,30.28,30.17,30.07,0
12/3/2015,61,48,36,40,37,34,96,70,37,30.42,30.37,30.28,0
12/4/2015,60,48,35,41,38,35,99,77,44,30.54,30.45,30.41,0
12/5/2015,63,48,33,41,37,33,100,74,35,30.52,30.44,30.38,0
12/6/2015,68,53,38,51,45,38,99,79,50,30.46,30.39,30.33,0
12/7/2015,68,54,41,50,46,41,99,81,49,30.35,30.27,30.17,0
12/8/2015,72,56,41,54,50,41,100,78,50,30.16,30.05,29.95,0
12/9/2015,75,62,50,54,50,42,100,74,31,30.06,29.98,29.93,0
12/10/2015,77,64,52,64,61,47,100,84,53,29.94,29.86,29.78,0
12/11/2015,80,72,63,69,65,63,100,84,59,29.88,29.85,29.82,0
12/12/2015,74,72,69,72,70,68,100,94,82,29.9,29.81,29.7,3.2
12/13/2015,72,60,49,72,54,48,100,97,91,29.8,29.72,29.59,1.63
12/14/2015,72,57,42,52,46,41,99,70,33,29.86,29.8,29.75,0
12/15/2015,71,59,47,65,59,47,100,91,76,29.81,29.75,29.7,0
12/16/2015,66,54,43,66,40,32,100,56,33,30.03,29.91,29.77,0.45
12/17/2015,61,48,36,38,32,29,86,56,30,30.23,30.06,30,0
